,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
7831,4629955,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,889.75444,3
7832,4629966,na,0,2,141.08916000000002,14
7833,4630059,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,280.21103,4
7834,4630064,"1 Less than $20,000",Autos < Adults (18 yrs or older),3,417.43037999999996,14
7835,4630382,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,205.58435,4
7836,4630426,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,140.105515,10
7837,4630445,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,304.33348,9
7838,4630458,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,107.05703000000001,4
7839,4630558,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),2,64.11628,9
7840,4630615,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,226.26486,32
7841,4630652,"2 $20,000 - $34,999",0,1,290.91695,2
7842,4630656,na,Autos < Adults (18 yrs or older),2,56.01764,8
7843,4630660,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,269.04024,3
7844,4630715,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),4,307.89277000000004,41
7845,4630720,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,94.34137,20
7846,4630727,na,Autos < Adults (18 yrs or older),5,506.65109,22
7847,4630747,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,149.19651000000002,5
7848,4630762,"5 More than $100,000",Autos = Adults (18 yrs or older),4,182.81926,23
7849,4630824,"5 More than $100,000",Autos > Adults (18 yrs or older),4,182.81926,12
7850,4630869,"5 More than $100,000",Autos = Adults (18 yrs or older),2,28.00882,9
7851,4630873,na,Autos = Adults (18 yrs or older),1,26.144804999999998,9
7852,4630919,"5 More than $100,000",Autos > Adults (18 yrs or older),1,26.144804999999998,6
7853,4630929,"5 More than $100,000",Autos < Adults (18 yrs or older),2,48.80254,4
7854,4630965,"1 Less than $20,000",0,3,343.8555,20
7855,4631069,na,Autos = Adults (18 yrs or older),2,108.62601000000001,8
7856,4631181,"5 More than $100,000",Autos = Adults (18 yrs or older),4,182.81926,25
7857,4631473,"5 More than $100,000",Autos = Adults (18 yrs or older),2,38.0707,17
7858,4631505,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,269.04024,4
7859,4631667,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,437.22117000000003,13
7860,4631798,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,148.89439,3
7861,4631822,"5 More than $100,000",Autos = Adults (18 yrs or older),3,84.10175500000001,11
7862,4631871,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,80.597565,18
7863,4631992,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),3,343.17966,13
7864,4632266,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,188.7719,12
7865,4632359,"3 $35,000 - $59,999",0,3,105.949125,3
7866,4632571,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,34.28248,15
7867,4632719,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,189.87281000000002,5
7868,4632921,"5 More than $100,000",Autos = Adults (18 yrs or older),5,378.82222,29
7869,4632978,na,Autos < Adults (18 yrs or older),2,111.87426,8
7870,4633064,"5 More than $100,000",Autos = Adults (18 yrs or older),3,123.82885,11
7871,4633096,"5 More than $100,000",Autos = Adults (18 yrs or older),4,248.503525,12
7872,4633459,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,64.84555999999999,3
7873,4633483,"4 $60,000 -  $99,999",0,3,494.28333,18
7874,4633580,na,Autos < Adults (18 yrs or older),2,355.23472999999996,2
7875,4633649,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,70.7201,7
7876,4633737,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,188.92427,19
7877,4633741,"5 More than $100,000",Autos > Adults (18 yrs or older),1,103.00684,4
7878,4633898,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,652.79224,5
7879,4634039,"5 More than $100,000",Autos = Adults (18 yrs or older),3,64.340785,5
7880,4634066,"5 More than $100,000",Autos < Adults (18 yrs or older),2,55.93713,16
7881,4634308,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,98.31679,13
7882,4634718,"5 More than $100,000",Autos > Adults (18 yrs or older),1,52.289609999999996,4
7883,4634764,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,793.31191,11
7884,4634807,"5 More than $100,000",Autos < Adults (18 yrs or older),4,182.81926,14
7885,4634844,"5 More than $100,000",Autos < Adults (18 yrs or older),4,182.81926,19
7886,4634933,na,Autos < Adults (18 yrs or older),3,467.90585999999996,31
7887,4634941,"1 Less than $20,000",0,1,145.458475,5
7888,4635247,na,Autos = Adults (18 yrs or older),1,269.04024,3
7889,4635309,"5 More than $100,000",Autos = Adults (18 yrs or older),2,56.01764,5
7890,4635540,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,47.170685,11
7891,4635583,"2 $20,000 - $34,999",0,1,134.52012,2
7892,4635586,"5 More than $100,000",Autos = Adults (18 yrs or older),3,63.256125,16
7893,4635615,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,47.170685,12
7894,4635635,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,153.94638500000002,29
7895,4635660,"1 Less than $20,000",0,1,134.52012,13
7896,4635681,"5 More than $100,000",Autos = Adults (18 yrs or older),3,84.10175500000001,33
7897,4635867,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,1110.21775,6
7898,4636051,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,283.27776,9
7899,4636111,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,261.97556000000003,2
7900,4636330,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,141.63888,35
7901,4636334,na,Autos = Adults (18 yrs or older),1,145.458475,10
7902,4636526,"5 More than $100,000",Autos = Adults (18 yrs or older),1,26.144804999999998,9
7903,4636662,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,94.34137,7
7904,4636686,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,269.04024,6
7905,4636734,"1 Less than $20,000",0,1,290.91695,2
7906,4636788,"4 $60,000 -  $99,999",0,1,88.06291999999999,4
7907,4636835,na,Autos < Adults (18 yrs or older),2,378.34109,7
7908,4636929,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),3,865.43971,4
7909,4637045,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,208.17571999999998,2
7910,4637085,"5 More than $100,000",Autos < Adults (18 yrs or older),2,41.16636,9
7911,4637203,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,112.69707,10
7912,4637476,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,113.58658999999999,3
7913,4637527,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,318.46032,12
7914,4637547,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,64.84555999999999,6
7915,4637586,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,297.78878,2
7916,4637960,"5 More than $100,000",Autos < Adults (18 yrs or older),2,57.236019999999996,6
7917,4637983,"5 More than $100,000",Autos < Adults (18 yrs or older),2,88.75215,10
7918,4637991,"5 More than $100,000",Autos < Adults (18 yrs or older),2,88.75215,9
7919,4638003,"5 More than $100,000",Autos < Adults (18 yrs or older),3,225.88823,6
7920,4638024,"5 More than $100,000",Autos < Adults (18 yrs or older),2,57.236019999999996,4
7921,4638047,"5 More than $100,000",Autos = Adults (18 yrs or older),2,68.33986999999999,14
