,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
0,4000064,"5 More than $100,000",Autos > Adults (18 yrs or older),3,242.54972,15
1,4000066,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,96.58105,7
2,4000136,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,92.530365,24
3,4000154,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,56.63644,4
4,4000158,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,81.20456,9
5,4000160,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,98.31679,12
6,4000176,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,106.04711,14
7,4000193,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,94.93640500000001,3
8,4000218,"5 More than $100,000",Autos = Adults (18 yrs or older),2,51.50026,16
9,4000228,"5 More than $100,000",Autos = Adults (18 yrs or older),2,75.72368,4
10,4000239,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,144.0979,10
11,4000260,na,Autos = Adults (18 yrs or older),2,72.992775,25
12,4000301,"5 More than $100,000",Autos < Adults (18 yrs or older),5,394.9462,17
13,4000306,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,301.56925,17
14,4000338,"5 More than $100,000",Autos = Adults (18 yrs or older),2,378.34109,6
15,4000414,"5 More than $100,000",Autos < Adults (18 yrs or older),2,56.01764,7
16,4000424,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,253.26637999999997,14
17,4000431,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,53.984759999999994,4
18,4000447,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),2,106.28658,28
19,4000458,"5 More than $100,000",Autos < Adults (18 yrs or older),2,177.61736499999998,10
20,4000467,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,185.06073,5
21,4000520,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,97.643485,8
22,4000523,"5 More than $100,000",Autos = Adults (18 yrs or older),1,163.538795,7
23,4000548,"2 $20,000 - $34,999",0,1,173.003275,12
24,4000577,"5 More than $100,000",Autos > Adults (18 yrs or older),1,70.61971,9
25,4000647,"5 More than $100,000",Autos = Adults (18 yrs or older),2,183.98935,8
26,4000663,"2 $20,000 - $34,999",Autos > Adults (18 yrs or older),2,204.162645,28
27,4000680,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),5,249.15766000000002,19
28,4000698,"5 More than $100,000",Autos = Adults (18 yrs or older),2,81.4936,5
29,4000701,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),4,229.45971,20
30,4000709,"5 More than $100,000",Autos < Adults (18 yrs or older),4,173.170795,19
31,4000717,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),4,183.47816,44
32,4000719,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,85.262385,19
33,4000764,na,Autos = Adults (18 yrs or older),2,66.743625,15
34,4000798,na,Autos < Adults (18 yrs or older),2,38.0707,4
35,4000820,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,76.46882,14
36,4000832,"5 More than $100,000",Autos = Adults (18 yrs or older),5,597.7756099999999,31
37,4000850,"5 More than $100,000",Autos < Adults (18 yrs or older),2,56.946555000000004,13
38,4000866,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,566.7794200000001,23
39,4000890,"5 More than $100,000",Autos < Adults (18 yrs or older),7,391.59857,20
40,4000900,na,Autos = Adults (18 yrs or older),1,134.52012,11
41,4000912,"5 More than $100,000",Autos < Adults (18 yrs or older),6,210.22831000000002,37
42,4000918,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,68.98853000000001,8
43,4000943,"5 More than $100,000",Autos = Adults (18 yrs or older),3,128.68157,8
44,4000945,"5 More than $100,000",Autos = Adults (18 yrs or older),1,51.22569,4
45,4000966,"5 More than $100,000",Autos < Adults (18 yrs or older),6,183.27045,30
46,4000982,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.98264,7
47,4001025,"5 More than $100,000",Autos = Adults (18 yrs or older),3,112.944115,22
48,4001049,na,Autos < Adults (18 yrs or older),2,75.952865,8
49,4001051,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,98.498835,20
50,4001066,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,747.95135,11
51,4001149,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,212.09422,6
52,4001185,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,118.52323999999999,16
53,4001198,"5 More than $100,000",Autos = Adults (18 yrs or older),2,71.33957,16
54,4001210,"5 More than $100,000",Autos > Adults (18 yrs or older),3,164.66001,39
55,4001224,na,Autos = Adults (18 yrs or older),1,96.82798000000001,4
56,4001352,"1 Less than $20,000",0,1,134.52012,4
57,4001358,"4 $60,000 -  $99,999",0,2,164.38016000000002,8
58,4001389,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,194.47545,19
59,4001412,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),2,505.74915,3
60,4001447,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,194.23653000000002,6
61,4001463,"5 More than $100,000",Autos = Adults (18 yrs or older),4,430.77013,9
62,4001489,"5 More than $100,000",Autos = Adults (18 yrs or older),3,329.32002,9
63,4001507,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,55.200185,7
64,4001548,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,92.530365,27
65,4001572,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,503.83353,7
66,4001582,"3 $35,000 - $59,999",0,1,41.870509999999996,4
67,4001602,"2 $20,000 - $34,999",0,2,311.658,3
68,4001630,"5 More than $100,000",Autos = Adults (18 yrs or older),2,44.486740000000005,18
69,4001654,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,659.70784,14
70,4001664,"5 More than $100,000",Autos > Adults (18 yrs or older),2,47.091499999999996,12
71,4001682,"5 More than $100,000",Autos = Adults (18 yrs or older),3,242.54972,12
72,4001708,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,1065.89423,8
73,4001739,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),2,150.148425,7
74,4001767,"5 More than $100,000",Autos = Adults (18 yrs or older),2,94.18299999999999,6
75,4001817,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,421.3391,10
76,4001834,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,426.79675,4
77,4001905,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,152.93764,11
78,4001931,"2 $20,000 - $34,999",0,1,269.04024,3
79,4001956,"5 More than $100,000",Autos = Adults (18 yrs or older),3,70.77928,2
80,4001977,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,44.031459999999996,12
81,4001985,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),2,55.200185,11
82,4002057,"2 $20,000 - $34,999",0,2,114.51591,15
83,4002061,"5 More than $100,000",Autos > Adults (18 yrs or older),4,98.0546,16
84,4002064,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),2,63.465830000000004,18
85,4002091,na,Autos = Adults (18 yrs or older),1,113.27288,6
86,4002112,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,278.23283,3
87,4002169,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,145.98555,9
88,4002172,"5 More than $100,000",Autos = Adults (18 yrs or older),3,108.98584,30
89,4002208,"5 More than $100,000",Autos < Adults (18 yrs or older),3,84.10175500000001,59
90,4002210,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,64.84555999999999,4
91,4002223,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,158.37018,7
92,4002256,"5 More than $100,000",Autos = Adults (18 yrs or older),2,47.091499999999996,10
93,4002281,"5 More than $100,000",Autos < Adults (18 yrs or older),3,173.93561,14
94,4002287,"2 $20,000 - $34,999",0,1,1726.0027899999998,7
95,4002325,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,76.46882,10
96,4002369,na,Autos = Adults (18 yrs or older),1,225.56283,2
97,4002457,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,81.44063,3
98,4002458,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,433.298,11
99,4002460,"5 More than $100,000",Autos = Adults (18 yrs or older),2,23.289195,22
100,4002475,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,321.61197999999996,9
101,4002487,na,0,1,112.781415,6
102,4002514,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,133.48725,8
103,4002541,"5 More than $100,000",Autos = Adults (18 yrs or older),2,28.574675,18
104,4002543,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),1,100.096795,14
105,4002569,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),4,665.41073,25
106,4002594,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,131.803125,16
107,4002595,"5 More than $100,000",Autos < Adults (18 yrs or older),3,123.82885,11
108,4002669,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),4,482.31125,4
109,4002740,"5 More than $100,000",Autos = Adults (18 yrs or older),2,79.6726,8
110,4002754,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),3,382.74577,14
111,4002762,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,283.38971000000004,24
112,4002781,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,140.40479,31
113,4002786,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,295.72027,21
114,4002799,"1 Less than $20,000",0,1,193.65596000000002,2
115,4002808,na,Autos < Adults (18 yrs or older),2,75.952865,8
116,4002817,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),3,371.64114,11
117,4002831,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,83.81981,4
118,4002835,"5 More than $100,000",Autos = Adults (18 yrs or older),2,43.406490000000005,16
119,4002854,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),3,706.31282,9
120,4002859,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,60.631655,13
121,4002883,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),2,58.729375,9
122,4002917,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,113.65583000000001,12
123,4002964,"5 More than $100,000",Autos < Adults (18 yrs or older),5,162.649685,39
124,4002998,na,Autos = Adults (18 yrs or older),2,119.58606,6
125,4003012,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,149.19651000000002,4
126,4003075,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,63.465830000000004,17
127,4003093,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,184.64463999999998,2
128,4003108,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,32.05814,15
129,4003113,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,41.870509999999996,10
130,4003121,"5 More than $100,000",Autos > Adults (18 yrs or older),2,28.227840000000004,16
131,4003139,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,94.93640500000001,11
132,4003147,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,123.91991000000002,6
133,4003148,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),4,810.7126099999999,8
134,4003160,"5 More than $100,000",Autos > Adults (18 yrs or older),2,92.52899000000001,12
135,4003169,na,Autos = Adults (18 yrs or older),2,45.756555,10
136,4003170,"5 More than $100,000",Autos = Adults (18 yrs or older),2,44.486740000000005,9
137,4003184,na,Autos = Adults (18 yrs or older),1,56.79329499999999,3
138,4003201,"5 More than $100,000",Autos = Adults (18 yrs or older),3,396.1589,2
139,4003220,na,Autos = Adults (18 yrs or older),2,47.091499999999996,24
140,4003222,"3 $35,000 - $59,999",0,1,74.59825500000001,6
141,4003294,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,1122.282845,18
142,4003303,"5 More than $100,000",Autos > Adults (18 yrs or older),2,43.5486,6
143,4003310,"5 More than $100,000",Autos < Adults (18 yrs or older),3,84.10175500000001,28
144,4003331,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,307.89277000000004,9
145,4003347,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,113.13243,48
146,4003368,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),3,445.12522,3
147,4003370,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,566.7794200000001,15
148,4003382,na,Autos = Adults (18 yrs or older),1,115.58431000000002,4
149,4003393,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),4,332.705365,23
150,4003433,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,266.15877,12
151,4003460,"5 More than $100,000",Autos = Adults (18 yrs or older),2,28.00882,10
152,4003468,"5 More than $100,000",Autos = Adults (18 yrs or older),4,133.932275,19
153,4003494,"5 More than $100,000",Autos < Adults (18 yrs or older),3,123.82885,17
154,4003500,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,231.79551,7
155,4003504,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,87.55525,7
156,4003516,"1 Less than $20,000",Autos = Adults (18 yrs or older),3,573.66337,12
157,4003523,"5 More than $100,000",Autos > Adults (18 yrs or older),2,57.63299,5
158,4003539,"1 Less than $20,000",0,2,455.6965,4
159,4003541,"5 More than $100,000",Autos = Adults (18 yrs or older),2,142.28895,4
160,4003542,"1 Less than $20,000",Autos < Adults (18 yrs or older),4,331.16038,8
161,4003549,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),6,464.08351500000003,34
162,4003592,"5 More than $100,000",Autos < Adults (18 yrs or older),2,111.87426,3
163,4003595,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,212.41539,26
164,4003645,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.98264,2
165,4003646,na,Autos = Adults (18 yrs or older),2,43.5486,23
166,4003663,"2 $20,000 - $34,999",0,1,145.458475,5
167,4003735,"5 More than $100,000",Autos = Adults (18 yrs or older),4,88.5222,31
168,4003750,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,69.32975,5
169,4003762,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,2174.30845,4
170,4003816,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,1450.602335,23
171,4003826,na,Autos = Adults (18 yrs or older),2,58.72231,11
172,4003853,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,36.31773,23
173,4003872,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,115.58431000000002,2
174,4003898,"1 Less than $20,000",0,1,346.00655,2
175,4003928,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,594.77344,2
176,4003938,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,79.18509,8
177,4003943,"5 More than $100,000",Autos > Adults (18 yrs or older),3,164.66001,20
178,4003956,"5 More than $100,000",Autos = Adults (18 yrs or older),1,70.61971,5
179,4004007,"5 More than $100,000",Autos < Adults (18 yrs or older),2,29.090320000000002,23
180,4004044,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),2,94.38595,16
181,4004109,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,245.53936000000002,10
182,4004128,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),5,273.92436499999997,60
183,4004136,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,175.58952,4
184,4004206,"5 More than $100,000",Autos > Adults (18 yrs or older),2,59.79303,28
185,4004295,"5 More than $100,000",Autos = Adults (18 yrs or older),2,28.00882,15
186,4004327,"5 More than $100,000",Autos = Adults (18 yrs or older),3,118.54428,19
187,4004361,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,98.00358,6
188,4004381,"5 More than $100,000",Autos = Adults (18 yrs or older),3,144.23379,6
189,4004413,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,72.992775,11
190,4004441,"5 More than $100,000",Autos = Adults (18 yrs or older),4,103.26026,34
191,4004443,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,88.06291999999999,9
192,4004447,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,106.28658,10
193,4004451,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,292.47814,27
194,4004497,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),5,341.046485,24
195,4004505,"1 Less than $20,000",Autos < Adults (18 yrs or older),3,784.67512,10
196,4004515,"5 More than $100,000",Autos < Adults (18 yrs or older),3,126.51225,5
197,4004517,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,68.56496,2
198,4004532,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,184.64463999999998,4
199,4004565,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,112.781415,5
200,4004595,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),3,159.23016,21
201,4004607,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,88.06291999999999,3
202,4004614,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),6,1249.9333199999999,16
203,4004667,"5 More than $100,000",Autos = Adults (18 yrs or older),2,46.264495000000004,4
204,4004679,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,169.2655,2
205,4004688,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,59.973175,8
206,4004729,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,222.84179500000002,26
207,4004756,"5 More than $100,000",Autos = Adults (18 yrs or older),5,366.5409,18
208,4004815,"1 Less than $20,000",Autos = Adults (18 yrs or older),2,130.39427,23
209,4004860,"5 More than $100,000",Autos = Adults (18 yrs or older),2,94.18299999999999,2
210,4004871,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,1254.21468,5
211,4004872,"5 More than $100,000",Autos < Adults (18 yrs or older),2,177.61736499999998,4
212,4004900,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,293.61495,4
213,4004903,"3 $35,000 - $59,999",0,1,83.74101999999999,7
214,4004909,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),5,522.31306,48
215,4004918,"5 More than $100,000",Autos < Adults (18 yrs or older),3,108.98584,33
216,4004981,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,186.09835,2
217,4004992,"5 More than $100,000",Autos = Adults (18 yrs or older),3,72.116895,14
218,4005073,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,92.32231999999999,6
219,4005103,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,34.28248,11
220,4005171,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),4,182.5687,23
221,4005301,"1 Less than $20,000",0,3,372.505145,4
222,4005317,"5 More than $100,000",Autos = Adults (18 yrs or older),1,18.61788,12
223,4005493,na,Autos = Adults (18 yrs or older),2,36.28026,24
224,4005590,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,87.38055,2
225,4005677,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,58.729375,11
226,4005780,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,594.77344,5
227,4005807,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,141.040225,31
228,4005869,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,594.77344,4
229,4006076,"5 More than $100,000",Autos = Adults (18 yrs or older),4,164.37088,44
230,4006166,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,140.40479,5
231,4006253,"2 $20,000 - $34,999",0,1,145.458475,4
232,4006323,na,Autos < Adults (18 yrs or older),4,362.97805,25
233,4006348,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),4,371.409925,23
234,4006360,"5 More than $100,000",0,1,327.07759,4
235,4006512,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,190.56542,19
236,4006548,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,76.46882,6
237,4006564,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,212.09422,6
238,4006635,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,224.09737,2
239,4006670,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.98264,4
240,4006771,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,64.055125,11
241,4007093,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,182.45694,15
242,4007126,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,64.055125,9
243,4007163,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,126.63318999999998,28
244,4007239,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,149.19651000000002,6
245,4007298,na,Autos = Adults (18 yrs or older),3,108.98584,16
246,4007314,"1 Less than $20,000",0,1,189.87281000000002,1
247,4007324,"5 More than $100,000",Autos = Adults (18 yrs or older),4,393.14545,18
248,4007367,"5 More than $100,000",Autos = Adults (18 yrs or older),3,164.66001,20
249,4025980,"5 More than $100,000",Autos = Adults (18 yrs or older),2,47.091499999999996,16
250,4026025,"5 More than $100,000",Autos = Adults (18 yrs or older),4,196.572725,40
251,4026070,na,Autos = Adults (18 yrs or older),1,67.054215,10
252,4026080,"5 More than $100,000",Autos = Adults (18 yrs or older),3,61.80483,18
253,4026094,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,72.63546,8
254,4026106,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,108.90024,5
255,4026123,"2 $20,000 - $34,999",0,1,1964.8418100000001,3
256,4026228,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,140.40479,5
257,4026276,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,83.74101999999999,5
258,4026327,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),5,300.42574,16
259,4026372,"5 More than $100,000",Autos = Adults (18 yrs or older),1,52.289609999999996,5
260,4026393,"5 More than $100,000",Autos = Adults (18 yrs or older),2,28.816495,11
261,4026403,"3 $35,000 - $59,999",0,1,280.21103,5
262,4026435,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),2,76.439675,11
263,4026455,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),4,311.23798,6
264,4026456,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),3,329.85392,27
265,4026533,na,Autos = Adults (18 yrs or older),1,205.58435,7
266,4026549,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,217.80048,6
267,4026616,"5 More than $100,000",Autos > Adults (18 yrs or older),2,24.006985,27
268,4026620,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,60.756080000000004,12
269,4026753,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,88.06291999999999,9
270,4026806,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,42.154925,37
271,4026835,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,49.81617,14
272,4026908,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,496.58505999999994,16
273,4026913,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.116415,4
274,4026966,na,Autos = Adults (18 yrs or older),1,115.897755,13
275,4026975,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),3,356.6716,7
276,4027027,na,Autos = Adults (18 yrs or older),2,159.83353,4
277,4027049,"5 More than $100,000",Autos > Adults (18 yrs or older),2,43.5486,18
278,4027099,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,75.952865,2
279,4027101,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,112.781415,8
280,4027135,"5 More than $100,000",Autos = Adults (18 yrs or older),2,87.0972,12
281,4027219,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,496.58505999999994,8
282,4027283,"1 Less than $20,000",Autos = Adults (18 yrs or older),2,204.162645,18
283,4027324,"5 More than $100,000",Autos = Adults (18 yrs or older),2,6.571739999999999,12
284,4027333,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,94.34137,17
285,4027366,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,57.79215500000001,9
286,4027378,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,112.92804,14
287,4027394,"3 $35,000 - $59,999",0,1,280.21103,4
288,4027409,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,898.31315,8
289,4027462,"5 More than $100,000",Autos = Adults (18 yrs or older),1,29.93913,11
290,4027501,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,2509.33567,9
291,4027509,"5 More than $100,000",Autos = Adults (18 yrs or older),3,217.97168,8
292,4027530,"5 More than $100,000",Autos > Adults (18 yrs or older),4,182.81926,24
293,4027543,"5 More than $100,000",Autos > Adults (18 yrs or older),2,10.184385,13
294,4027545,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,140.105515,12
295,4027559,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,108.62601000000001,11
296,4027607,"1 Less than $20,000",Autos = Adults (18 yrs or older),2,139.17091000000002,5
297,4027619,"5 More than $100,000",Autos = Adults (18 yrs or older),4,430.77013,4
298,4027621,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,153.061465,7
299,4027637,"5 More than $100,000",Autos = Adults (18 yrs or older),1,51.50342,7
300,4027670,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,253.93452000000002,2
301,4027684,"5 More than $100,000",Autos = Adults (18 yrs or older),4,337.17013,29
302,4027688,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),3,652.65624,26
303,4027782,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),6,464.08351500000003,45
304,4027829,"2 $20,000 - $34,999",0,1,346.00655,2
305,4027853,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,40.720315,8
306,4027896,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,735.60334,6
307,4028003,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,422.24258,6
308,4028008,"5 More than $100,000",Autos < Adults (18 yrs or older),2,355.23472999999996,4
309,4028041,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,133.38186000000002,16
310,4028112,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,126.63318999999998,43
311,4028141,"5 More than $100,000",Autos = Adults (18 yrs or older),3,285.40641,5
312,4028249,"5 More than $100,000",Autos > Adults (18 yrs or older),2,120.38375,5
313,4028296,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),2,696.8172599999999,14
314,4028323,na,Autos = Adults (18 yrs or older),5,515.24001,16
315,4028347,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,60.67106,28
316,4028372,na,Autos = Adults (18 yrs or older),1,44.190465,4
317,4028470,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,136.35963,10
318,4028505,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,92.32231999999999,9
319,4028553,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,261.97556000000003,12
320,4028564,"5 More than $100,000",Autos > Adults (18 yrs or older),1,86.09094,3
321,4028590,"5 More than $100,000",Autos = Adults (18 yrs or older),4,177.24844,28
322,4028799,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),4,307.89277000000004,4
323,4028819,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,137.97706000000002,3
324,4028826,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,236.63771,12
325,4028942,"5 More than $100,000",Autos = Adults (18 yrs or older),4,133.932275,36
